king,cabbage,0.23
professor,cucumber,0.31
chord,smile,0.54
noon,string,0.54
rooster,voyage,0.62
sugar,approach,0.88
lad,wizard,0.92
monk,slave,0.92
stock,jaguar,0.92
stock,life,0.92
delay,racism,1.19
drink,ear,1.31
stock,CD,1.31
holy,sex,1.62
stock,phone,1.62
production,hike,1.75
precedent,group,1.77
energy,secretary,1.81
month,hotel,1.81
stock,egg,1.81
forest,graveyard,1.85
cup,substance,1.92
possibility,girl,1.94
tiger,tiger,10.00
cemetery,woodland,2.08
glass,magician,2.08
cup,entity,2.15
Wednesday,news,2.22
direction,combination,2.25
reason,hypertension,2.31
problem,airport,2.38
sign,recess,2.38
cup,article,2.40
Arafat,Jackson,2.50
precedent,collection,2.50
listing,proximity,2.56
volunteer,motto,2.56
opera,industry,2.63
drink,mother,2.65
crane,implement,2.69
line,insurance,2.69
announcement,effort,2.75
precedent,cognition,2.81
media,gain,2.88
cup,artifact,2.92
Mars,water,2.94
peace,insurance,2.94
viewer,serial,2.97
prejudice,recognition,3.00
president,medal,3.00
drink,car,3.04
shore,woodland,3.08
coast,forest,3.15
century,nation,3.16
practice,institution,3.19
governor,interview,3.25
delay,news,3.31
money,operation,3.31
morality,importance,3.31
announcement,production,3.38
five,month,3.38
school,center,3.44
experience,music,3.47
seven,series,3.56
music,project,3.63
report,gain,3.63
atmosphere,landscape,3.69
cup,object,3.69
minority,peace,3.69
morality,marriage,3.69
peace,atmosphere,3.69
stock,live,3.73
population,development,3.75
architecture,century,3.78
precedent,information,3.85
chance,credibility,3.88
media,trading,3.88
profit,warning,3.88
situation,isolation,3.88
theater,history,3.91
day,summer,3.94
development,issue,3.97
focus,life,4.06
start,year,4.06
consumer,confidence,4.13
attempt,peace,4.25
benchmark,index,4.25
deployment,departure,4.25
coast,hill,4.38
observation,architecture,4.38
food,rooster,4.42
lad,brother,4.46
board,recommendation,4.47
computer,news,4.47
start,match,4.47
life,term,4.50
image,surface,4.56
investigation,effort,4.59
smart,student,4.62
hospital,infrastructure,4.63
ministry,culture,4.69
consumer,energy,4.75
peace,plan,4.75
word,similarity,4.75
tiger,organism,4.77
situation,conclusion,4.81
space,chemistry,4.88
car,flight,4.94
street,children,4.94
journal,association,4.97
cup,food,5.00
doctor,personnel,5.00
monk,oracle,5.00
travel,activity,5.00
death,inmate,5.03
secretary,senate,5.06
energy,laboratory,5.09
impartiality,interest,5.16
doctor,liability,5.19
death,row,5.25
man,governor,5.25
territory,kilometer,5.28
credit,information,5.31
exhibit,memorabilia,5.31
size,prominence,5.31
territory,surface,5.34
arrangement,accommodation,5.41
change,attitude,5.44
disability,death,5.47
alcohol,chemistry,5.54
glass,metal,5.56
psychology,discipline,5.58
tiger,fauna,5.62
Mars,scientist,5.63
OPEC,country,5.63
decoration,valor,5.63
summer,nature,5.63
money,laundering,5.65
lobster,wine,5.70
planet,people,5.75
plane,car,5.77
smart,stupid,5.81
journey,car,5.85
precedent,example,5.85
tiger,zoo,5.87
deployment,withdrawal,5.88
cup,liquid,5.90
equipment,maker,5.91
reason,criterion,5.91
cucumber,potato,5.92
king,rook,5.92
energy,crisis,5.94
grocery,money,5.94
life,lesson,5.94
drink,mouth,5.96
baseball,season,5.97
game,round,5.97
announcement,warning,6.00
arrival,hotel,6.00
registration,arrangement,6.00
shower,flood,6.03
precedent,antecedent,6.04
weapon,secret,6.06
dollar,loss,6.09
bread,butter,6.19
game,series,6.19
lover,quarrel,6.19
movie,popcorn,6.19
preservation,world,6.19
food,preparation,6.22
skin,eye,6.22
disaster,area,6.25
family,planning,6.25
nature,man,6.25
production,crew,6.25
brother,monk,6.27
record,number,6.31
shower,thunderstorm,6.31
train,car,6.31
discovery,space,6.34
governor,office,6.34
oil,stock,6.34
video,archive,6.34
listing,category,6.38
gender,equality,6.41
psychology,doctor,6.42
competition,price,6.44
street,place,6.44
tool,implement,6.46
luxury,car,6.47
victim,emergency,6.47
dividend,calculation,6.48
Japanese,American,6.50
space,world,6.53
government,crisis,6.56
water,seepage,6.56
cup,coffee,6.58
psychology,clinic,6.58
professor,doctor,6.62
football,tennis,6.63
minister,party,6.63
precedent,law,6.65
bishop,rabbi,6.69
fertility,egg,6.69
lawyer,evidence,6.69
psychology,science,6.71
bed,closet,6.72
Arafat,peace,6.73
movie,critic,6.73
problem,challenge,6.75
